game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,X,all_critic_num,all_user_num_2,all_game_types,all_ratings,all_critic_positive,all_critic_mixed,all_critic_negative,all_user_positive,all_user_mixed,all_user_negative,global_sale_list
Dead Space,2008-10-20,86,8,39,3194961,56306,744,0,17010,28,1116,Action,M,27,1,0,156,47,47,81922.0769230769,102,28,1116,Action,M,27,1,0,156,47,47,0.59
The Lord of the Rings Online: Mines of Moria,2008-11-17,85,8.2,49,22198109,240081,6229,0,36540,24,99,Role-Playing,T,23,1,0,23,1,1,453022.632653061,104,24,99,Role-Playing,T,23,1,0,23,1,1,0.02
Far Cry 2,2008-10-21,85,5.8,47,980115,10628,228,0,2641,34,1353,Action,M,26,8,0,129,125,125,20853.5106382979,107,34,1353,Action,M,26,8,0,129,125,125,0.48
Spore,2008-09-07,84,5.3,44,115124,947,45,0,422,75,1716,Strategy,E10+,62,13,0,169,121,121,2616.45454545455,109,75,1716,Strategy,E10+,62,13,0,169,121,121,1.17
Call of Duty: World at War,2008-11-10,83,7.5,40,409746,9015,164,0,2373,36,728,Action,M,31,5,0,66,40,40,10243.65,111,36,729,Action,M,31,5,0,66,40,40,0.18
GTR Evolution,2008-09-01,83,8.2,31,9743115,34448,2626,0,5232,19,63,Driving,E,18,1,0,5,2,2,314294.032258065,113,19,63,Driving,E,18,1,0,5,2,2,0.03
Age of Conan: Hyborian Adventures,2008-05-20,80,7.3,45,903036,10395,640,0,1371,44,813,Role-Playing,M,36,8,0,221,51,51,20067.4666666667,117,44,813,Role-Playing,M,36,8,0,221,51,51,0
Tomb Raider: Underworld,2008-11-18,80,7.7,40,8900860,157093,2867,0,18448,20,274,Action Adventure,T,18,2,0,33,14,14,222521.5,120,20,274,Action Adventure,T,18,2,0,33,14,14,0.08
LEGO Batman: The Videogame,2008-09-23,80,7.8,49,25165857,362029,9075,0,56695,15,62,Action Adventure,E10+,13,2,0,6,1,1,513588.918367347,121,15,62,Action Adventure,E10+,13,2,0,6,1,1,0.07
Brothers in Arms: Hell's Highway,2008-10-07,79,7.9,9,1086080,5638,160,0,1293,22,132,Action,M,18,4,0,28,2,2,120675.555555556,122,22,132,Action,M,18,4,0,28,2,2,0.02
FlatOut: Ultimate Carnage,2008-08-26,79,7.7,32,1365285,6864,272,0,1158,16,129,Driving,T,12,4,0,15,2,2,42665.15625,128,16,129,Driving,T,12,4,0,15,2,2,0.01
King's Bounty: The Legend,2008-09-23,79,8.6,0,0,0,0,0,0,26,265,Strategy,T,21,5,0,37,4,4,NaN,129,26,265,Strategy,T,21,5,0,37,4,4,0
LEGO Indiana Jones: The Original Adventures,2008-06-03,78,7.7,12,8158056,42796,1768,0,3563,14,35,Adventure,E10+,11,3,0,7,0,0,679838,130,14,35,Adventure,E10+,11,3,0,7,0,0,0.04
Tom Clancy's Rainbow Six: Vegas 2,2008-04-15,78,7.3,16,624416,1732,259,0,299,20,186,Action,M,16,4,0,32,16,16,39026,131,20,186,Action,M,16,4,0,32,16,16,0.02
Devil May Cry 4,2008-07-08,78,8.5,16,1621096,9980,322,0,2332,21,355,Action,M,15,6,0,36,6,6,101318.5,132,21,355,Action,M,15,6,0,36,6,6,0.04
Bejeweled Twist,2008-10-27,78,7.3,49,152573,1343,27,0,537,12,11,Miscellaneous,E,8,4,0,2,0,0,3113.73469387755,134,12,11,Miscellaneous,E,8,4,0,2,0,0,0.05
FIFA Soccer 09,2008-10-14,77,6.8,48,517992,5616,130,0,1254,15,36,Sports,E,11,4,0,1,1,1,10791.5,135,15,36,Sports,E,11,4,0,1,1,1,0.02
Command & Conquer 3: Kane's Wrath,2008-03-24,77,8.1,11,198534,808,73,0,62,44,105,Strategy,T,32,12,0,11,8,8,18048.5454545455,136,44,106,Strategy,T,32,12,0,11,8,8,0.02
Pirates of the Burning Sea,2008-01-21,76,7.6,35,12205,179,4,0,50,30,61,Role-Playing,T,23,6,1,17,3,3,348.714285714286,138,30,61,Role-Playing,T,23,6,1,17,3,3,0.02
