game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views
SMITE,2014-03-25,83,8.2,46,691866,4876,98,0,1622,18,804,Role-Playing,T,17,1,0,172,19,19,15040.5652173913
The Blackwell Epiphany,2014-04-24,83,7.6,50,227568,7806,55,0,768,14,62,Adventure Games,NA,13,1,0,7,0,0,4551.36
This War of Mine,2014-11-14,83,8.3,25,79724,3141,33,0,561,62,680,Action,NA,57,5,0,95,21,21,3188.96
Metal Gear Rising: Revengeance,2014-01-09,83,7.9,49,400722,7986,214,0,1768,27,647,Action,M,26,1,0,74,20,20,8178
Transistor,2014-05-20,83,8.3,9,3625,99,3,0,46,35,682,Role-Playing,T,29,5,1,80,20,20,402.777777777778
Outland,2014-09-29,83,7.2,46,101576,3761,46,0,681,8,40,Action,E10+,7,1,0,1,1,1,2208.17391304348
Dark Souls II: Crown of the Ivory King,2014-09-29,82,8.1,47,283347,7417,237,0,1496,12,75,Role-Playing,NA,11,1,0,6,3,3,6028.65957446809
Endless Legend,2014-04-24,82,7.9,21,671290,9160,253,0,1895,37,466,Strategy,NA,34,3,0,78,21,21,31966.1904761905
Kero Blaster,2014-05-11,82,7.1,22,36321,1079,22,0,323,14,32,General,NA,13,0,1,3,0,0,1650.95454545455
The Wolf Among Us: Episode 3 - A Crooked Mile,2014-04-08,82,8.6,33,270317,2725,39,0,936,38,284,Action Adventure,M,31,7,0,21,2,2,8191.42424242424
ETHER One,2014-03-25,82,6.9,46,1031378,13040,186,0,3648,20,47,Adventure Games,E10+,16,4,0,2,3,3,22421.2608695652
The Vanishing of Ethan Carter,2014-09-25,82,8.1,36,2461700,63556,600,0,8562,66,700,Miscellaneous,M,56,10,0,93,44,44,68380.5555555556
Age of Wonders III - Golden Realms,2014-09-18,82,8.6,45,800318,22449,323,0,6819,8,94,Fantasy,NA,6,2,0,10,0,0,17784.8444444444
Dark Souls II: Crown of the Sunken King,2014-07-22,82,7.4,47,1238243,5777,386,0,1278,19,174,Role-Playing,T,17,2,0,10,9,9,26345.5957446808
Lethal League,2014-08-27,82,7.5,45,167781,2556,52,0,526,11,46,Action,NA,9,2,0,8,1,1,3728.46666666667
Pro Evolution Soccer 2015,2014-11-13,82,5.8,37,4351298,30731,762,0,7302,8,175,Sports,NA,6,2,0,15,12,12,117602.648648649
WildStar,2014-06-03,82,7.4,13,14315,233,7,0,73,52,964,Massively Multiplayer,T,NA,NA,NA,NA,NA,NA,1101.15384615385
Broken Age: Act 1,2014-01-28,82,7.7,50,9566426,160724,7463,0,28418,64,360,Adventure Games,NA,54,10,0,50,12,12,191328.52
Nidhogg,2014-01-13,81,6.6,44,297223,6473,143,0,801,43,131,Miscellaneous,NA,35,8,0,13,7,7,6755.06818181818
Sunless Sea,2014-07-01,81,7.5,50,488452,12386,241,0,2228,38,115,Sci-Fi,NA,31,7,0,16,8,8,9769.04
The Walking Dead: Season Two Episode 3 - In Harm's Way,2014-05-13,81,8.3,19,82672,2621,21,0,489,39,258,Action,M,32,7,0,25,10,10,4351.15789473684
Marvel Heroes 2015,2014-06-04,81,7.9,43,724111,5475,98,0,699,10,620,Role-Playing,NA,9,1,0,184,21,21,16839.7906976744
Wolfenstein: The New Order,2014-05-19,81,8.1,50,6623889,48835,2139,0,5890,23,1665,Action,M,20,3,0,250,53,53,132477.78
Alien: Isolation,2014-10-06,81,8.4,50,1521276,18541,242,0,4076,41,1611,Action Adventure,M,32,9,0,312,53,53,30425.52
Company of Heroes 2: Ardennes Assault,2014-11-17,81,6.1,34,241564,2534,173,0,626,38,67,Strategy,M,34,4,0,5,1,1,7104.82352941176
